datetime,open,high,low,close,tick_volume,spread,real_volume
2024-05-07 12:00:00,130845.0,130975.0,130725.0,130855.0,231836,5,902790
2024-05-07 12:30:00,130860.0,130885.0,130665.0,130685.0,149236,5,577721
2024-05-07 13:00:00,130680.0,130825.0,130670.0,130710.0,107071,5,434440
2024-05-07 13:30:00,130705.0,130805.0,130590.0,130785.0,178990,5,715571
2024-05-07 14:00:00,130785.0,130795.0,130660.0,130735.0,126467,5,502761
2024-05-07 14:30:00,130735.0,130760.0,130555.0,130590.0,147256,5,563982
2024-05-07 15:00:00,130590.0,130660.0,130550.0,130575.0,114053,5,461827
2024-05-07 15:30:00,130575.0,130580.0,130260.0,130355.0,215467,5,941752
2024-05-07 16:00:00,130360.0,130400.0,130270.0,130365.0,123342,5,508858
2024-05-07 16:30:00,130365.0,130445.0,130300.0,130340.0,130525,5,544346
2024-05-07 17:00:00,130335.0,130445.0,130330.0,130400.0,76530,5,338938
2024-05-07 17:30:00,130395.0,130445.0,130345.0,130400.0,51390,5,214627
2024-05-07 18:00:00,130400.0,130490.0,130330.0,130355.0,42460,5,117225
2024-05-08 09:00:00,129900.0,130040.0,129485.0,129575.0,390541,5,1300063
2024-05-08 09:30:00,129580.0,129595.0,129255.0,129320.0,267869,5,952452
2024-05-08 10:00:00,129325.0,129450.0,129150.0,129435.0,365718,5,1356957
2024-05-08 10:30:00,129435.0,130200.0,129410.0,130195.0,571583,5,2341651
2024-05-08 11:00:00,130195.0,130400.0,130140.0,130365.0,307912,5,1259906
2024-05-08 11:30:00,130365.0,130400.0,130100.0,130130.0,242425,5,971254
2024-05-08 12:00:00,130135.0,130390.0,130085.0,130365.0,229103,5,951541
2024-05-08 12:30:00,130370.0,130565.0,130345.0,130405.0,188650,5,800226
2024-05-08 13:00:00,130410.0,130465.0,130305.0,130385.0,114063,5,481515
2024-05-08 13:30:00,130390.0,130485.0,130360.0,130410.0,127407,5,533989
2024-05-08 14:00:00,130415.0,130420.0,130265.0,130360.0,165745,5,688316
2024-05-08 14:30:00,130360.0,130415.0,130235.0,130285.0,133334,5,571197
2024-05-08 15:00:00,130290.0,130400.0,130185.0,130370.0,150495,5,627119
2024-05-08 15:30:00,130375.0,130545.0,130335.0,130460.0,161599,5,707143
2024-05-08 16:00:00,130465.0,130695.0,130420.0,130620.0,193026,5,867886
2024-05-08 16:30:00,130620.0,130690.0,130450.0,130470.0,162651,5,723492
2024-05-08 17:00:00,130470.0,130585.0,130430.0,130535.0,88075,5,399636
2024-05-08 17:30:00,130535.0,130695.0,130510.0,130605.0,79887,5,353355
2024-05-08 18:00:00,130615.0,131515.0,130605.0,130925.0,91585,5,256267
2024-05-09 09:00:00,129600.0,129625.0,129125.0,129185.0,515668,5,1700550
2024-05-09 09:30:00,129190.0,129440.0,129075.0,129200.0,384580,5,1335498
2024-05-09 10:00:00,129205.0,129240.0,128545.0,128575.0,537125,5,2023378
2024-05-09 10:30:00,128575.0,128800.0,128450.0,128475.0,474172,5,1755470
2024-05-09 11:00:00,128475.0,128825.0,128385.0,128665.0,427575,5,1549175
2024-05-09 11:30:00,128665.0,128770.0,128580.0,128770.0,260554,5,936741
2024-05-09 12:00:00,128765.0,129005.0,128735.0,128825.0,261483,5,987447
